UserID    Attendance date     
104000140 2021-05-25 08:03:38 
104000140 2021-05-25 08:49:04 
103000011 2021-05-25 07:51:32 
103000011 2021-05-25 21:59:52 
103000093 2021-05-25 07:24:57 
103000093 2021-05-25 21:57:45 
103000111 2021-05-25 08:00:17 
103000111 2021-05-25 21:58:02 
103000112 2021-05-25 07:43:40 
103000112 2021-05-25 21:58:36 
103000118 2021-05-25 08:03:15 
103000118 2021-05-25 21:57:11 
103000124 2021-05-25 08:01:10 
103000124 2021-05-25 21:58:30 
103000134 2021-05-25 07:35:21 
103000134 2021-05-25 22:00:07 
103000135 2021-05-25 08:01:07 
103000135 2021-05-25 21:56:24 
103000142 2021-05-25 08:00:28 
103000142 2021-05-25 21:56:31 
103000158 2021-05-25 07:56:33 
103000158 2021-05-25 21:53:42 
103000333 2021-05-25 07:38:05 
103000333 2021-05-25 19:22:50 
103000574 2021-05-25 07:54:32 
103000574 2021-05-25 19:59:38 
103000607 2021-05-25 07:22:03 
103000607 2021-05-25 21:42:30 
103000616 2021-05-25 07:39:08 
103000616 2021-05-25 22:01:38 
103000616 2021-05-25 22:04:43 
103000978 2021-05-25 07:35:09 
103000978 2021-05-25 21:47:38 
103001151 2021-05-25 07:37:34 
103001151 2021-05-25 19:48:12 
103001463 2021-05-25 07:58:06 
103001463 2021-05-25 22:02:54 
103001463 2021-05-25 22:04:38 
103001468 2021-05-25 07:45:37 
103001468 2021-05-25 21:58:56 
103001469 2021-05-25 07:52:27 
103001469 2021-05-25 21:53:34 
103001470 2021-05-25 07:55:46 
103001470 2021-05-25 22:00:20 
103001473 2021-05-25 07:56:15 
103001473 2021-05-25 21:56:54 
103001482 2021-05-25 08:01:03 
103001482 2021-05-25 22:01:24 
103001484 2021-05-25 07:42:38 
103001485 2021-05-25 07:51:46 
103001485 2021-05-25 22:00:27 
103001488 2021-05-25 07:37:03 
103001488 2021-05-25 22:04:39 
103001507 2021-05-25 07:30:26 
103001507 2021-05-25 22:01:33 
103001508 2021-05-25 07:50:55 
103001508 2021-05-25 21:59:31 
103001509 2021-05-25 07:44:32 
103001509 2021-05-25 21:51:41 
103002355 2021-05-25 07:36:01 
