UserID    Attendance date     
10011     2021-03-09 15:19:13 
10011     2021-03-14 17:47:46 
10011     2021-03-15 16:24:08 
20017     2021-03-01 08:09:45 
20017     2021-03-01 13:08:07 
20017     2021-03-01 17:47:44 
20017     2021-03-01 19:20:12 
20017     2021-03-02 08:07:07 
20017     2021-03-02 11:58:51 
20017     2021-03-03 08:09:20 
20017     2021-03-03 14:44:58 
20017     2021-03-03 18:02:55 
20017     2021-03-04 10:22:48 
20017     2021-03-04 12:53:36 
20017     2021-03-04 20:26:30 
20017     2021-03-06 08:09:08 
20017     2021-03-06 14:39:22 
20017     2021-03-06 18:29:14 
20017     2021-03-06 18:40:03 
20017     2021-03-08 08:10:38 
20017     2021-03-08 12:31:26 
20017     2021-03-08 17:33:04 
20017     2021-03-08 19:58:10 
20017     2021-03-09 08:09:56 
20017     2021-03-09 14:13:44 
20017     2021-03-09 16:42:40 
20017     2021-03-09 16:56:06 
20017     2021-03-10 15:19:10 
20017     2021-03-10 15:32:37 
20017     2021-03-10 15:45:57 
20017     2021-03-10 17:53:21 
20017     2021-03-11 08:12:12 
20017     2021-03-11 11:18:02 
20017     2021-03-11 12:59:17 
20017     2021-03-11 15:38:55 
20017     2021-03-11 17:34:50 
20017     2021-03-13 08:13:59 
20017     2021-03-13 15:11:59 
20017     2021-03-13 15:17:46 
20017     2021-03-13 17:53:31 
20017     2021-03-14 13:12:28 
20017     2021-03-14 14:13:14 
20017     2021-03-14 17:51:43 
20017     2021-03-15 08:22:21 
20017     2021-03-15 13:52:49 
20017     2021-03-16 08:11:27 
20017     2021-03-16 19:15:10 
20017     2021-03-18 08:09:54 
20017     2021-03-18 15:14:32 
20017     2021-03-18 16:46:37 
20017     2021-03-20 08:08:51 
20028     2021-03-04 09:51:38 
20028     2021-03-09 12:07:53 
20034     2021-03-01 10:14:09 
20034     2021-03-04 14:26:02 
20034     2021-03-04 20:15:27 
20034     2021-03-06 10:20:52 
20034     2021-03-07 09:52:59 
20034     2021-03-08 10:54:54 
20034     2021-03-09 10:25:53 
20034     2021-03-10 10:41:02 
20034     2021-03-13 10:12:06 
20034     2021-03-13 19:22:31 
20034     2021-03-14 10:40:34 
20034     2021-03-14 12:32:26 
20034     2021-03-15 10:32:16 
20034     2021-03-15 19:57:14 
20034     2021-03-16 10:14:04 
20034     2021-03-16 14:54:55 
20034     2021-03-16 19:46:59 
20034     2021-03-18 10:10:47 
20034     2021-03-18 14:43:00 
20034     2021-03-18 19:48:39 
20034     2021-03-20 10:26:38 
30026     2021-03-01 10:39:09 
30026     2021-03-01 13:49:28 
30026     2021-03-02 10:23:17 
30026     2021-03-02 13:45:12 
30026     2021-03-03 10:23:35 
30026     2021-03-03 14:00:25 
30026     2021-03-04 10:13:24 
30026     2021-03-04 13:53:47 
30026     2021-03-06 10:44:38 
30026     2021-03-06 12:15:31 
30026     2021-03-06 13:46:30 
30026     2021-03-07 10:47:48 
30026     2021-03-07 14:00:40 
30026     2021-03-07 17:25:23 
30026     2021-03-08 10:20:41 
30026     2021-03-08 13:49:30 
30026     2021-03-10 10:21:58 
30026     2021-03-11 10:12:46 
30026     2021-03-11 13:44:26 
30026     2021-03-13 13:53:02 
30026     2021-03-14 10:49:59 
30026     2021-03-14 13:52:17 
30026     2021-03-14 14:20:00 
30026     2021-03-15 17:18:28 
30026     2021-03-18 13:40:10 
30026     2021-03-20 10:19:14 
30046     2021-03-01 10:09:50 
30046     2021-03-03 11:16:37 
30046     2021-03-06 11:52:50 
30046     2021-03-07 10:30:37 
30046     2021-03-07 15:32:52 
30046     2021-03-08 11:07:58 
30046     2021-03-09 10:02:58 
30046     2021-03-09 12:36:29 
30046     2021-03-13 10:21:01 
30046     2021-03-14 14:10:24 
30046     2021-03-14 16:33:51 
30046     2021-03-15 17:24:07 
30046     2021-03-16 11:25:34 
30046     2021-03-18 10:37:30 
30046     2021-03-18 11:59:20 
30046     2021-03-20 10:37:50 
30091     2021-03-04 14:24:01 
50007     2021-03-01 11:03:11 
50007     2021-03-01 15:16:24 
50007     2021-03-02 10:34:05 
50007     2021-03-02 11:08:37 
50007     2021-03-02 13:23:54 
50007     2021-03-02 14:32:56 
50007     2021-03-02 15:55:52 
50007     2021-03-03 10:49:34 
50007     2021-03-03 15:38:43 
50007     2021-03-04 10:49:49 
50007     2021-03-04 12:04:28 
50007     2021-03-06 11:31:02 
50007     2021-03-06 13:38:29 
50007     2021-03-06 15:13:13 
50007     2021-03-06 16:05:34 
50007     2021-03-06 17:38:39 
50007     2021-03-07 11:14:15 
50007     2021-03-07 15:21:22 
50007     2021-03-07 18:10:38 
50007     2021-03-09 11:09:09 
50007     2021-03-10 11:15:16 
50007     2021-03-10 12:01:59 
50007     2021-03-11 10:47:34 
50007     2021-03-11 11:48:50 
50007     2021-03-11 14:49:26 
50007     2021-03-13 11:27:48 
50007     2021-03-13 12:06:40 
50007     2021-03-13 15:56:49 
50007     2021-03-14 11:33:55 
50007     2021-03-14 18:08:26 
50007     2021-03-15 10:53:54 
50007     2021-03-15 11:15:29 
50007     2021-03-16 11:13:31 
50007     2021-03-16 12:09:39 
50007     2021-03-18 10:41:25 
50007     2021-03-18 12:43:43 
50007     2021-03-18 14:07:48 
50007     2021-03-20 10:28:58 
50007     2021-03-20 10:44:46 
50010     2021-03-01 10:48:17 
50010     2021-03-01 15:28:20 
50010     2021-03-02 11:49:38 
50010     2021-03-03 10:38:27 
50010     2021-03-03 11:42:01 
50010     2021-03-03 14:32:04 
50010     2021-03-04 10:38:31 
50010     2021-03-04 18:54:27 
50010     2021-03-07 15:45:40 
50010     2021-03-08 10:33:41 
50010     2021-03-09 11:27:42 
50010     2021-03-10 10:28:49 
50010     2021-03-11 15:27:19 
50010     2021-03-13 10:31:07 
50010     2021-03-13 11:33:51 
50010     2021-03-13 15:19:10 
50010     2021-03-13 18:24:08 
50010     2021-03-15 10:39:16 
50010     2021-03-15 14:20:07 
50010     2021-03-15 14:23:58 
50010     2021-03-16 13:21:07 
50010     2021-03-18 11:25:34 
50745     2021-03-02 14:34:12 
50745     2021-03-04 16:00:51 
50745     2021-03-06 09:25:18 
50745     2021-03-07 09:58:13 
50745     2021-03-09 13:40:17 
50745     2021-03-10 13:31:23 
50745     2021-03-11 14:52:28 
50745     2021-03-13 12:40:48 
50745     2021-03-18 14:30:23 
50745     2021-03-20 09:40:47 
103024303 2021-03-03 10:54:07 
103024303 2021-03-03 18:36:35 
103024303 2021-03-07 12:23:11 
103024303 2021-03-08 10:35:53 
103024303 2021-03-10 13:04:59 
103024303 2021-03-14 12:25:23 
103024303 2021-03-14 14:48:31 
103024303 2021-03-16 17:34:42 
103025484 2021-03-04 13:23:42 
103025485 2021-03-18 15:54:15 
104000040 2021-03-13 08:51:03 
104000040 2021-03-13 10:31:54 
104000040 2021-03-13 15:08:57 
104000040 2021-03-14 08:44:21 
104000040 2021-03-14 10:11:35 
104000040 2021-03-14 12:40:36 
104000040 2021-03-15 08:54:34 
104000040 2021-03-16 08:44:27 
104000040 2021-03-16 11:34:41 
104000040 2021-03-16 11:53:49 
104000040 2021-03-18 08:39:21 
104000040 2021-03-18 12:31:49 
104000040 2021-03-20 08:52:58 
104000040 2021-03-20 10:22:02 
104000041 2021-03-20 10:22:15 
104000043 2021-03-01 16:24:35 
104000043 2021-03-02 11:39:42 
104000043 2021-03-02 11:49:12 
104000043 2021-03-04 11:55:20 
104000043 2021-03-04 14:08:19 
104000043 2021-03-04 14:38:50 
104000043 2021-03-08 13:06:29 
104000043 2021-03-08 14:23:12 
104000043 2021-03-10 12:37:06 
104000043 2021-03-13 11:54:48 
104000043 2021-03-18 16:15:55 
104000222 2021-03-14 17:04:33 
104000343 2021-03-01 11:19:02 
104000343 2021-03-01 14:48:24 
104000343 2021-03-03 11:46:55 
104000343 2021-03-03 14:24:37 
104000343 2021-03-03 16:04:03 
104000343 2021-03-08 14:48:11 
104000343 2021-03-08 14:50:23 
104000343 2021-03-13 12:21:36 
104000343 2021-03-13 16:47:41 
104000343 2021-03-15 14:42:04 
104000343 2021-03-15 15:52:50 
104000343 2021-03-15 16:28:16 
104000343 2021-03-18 13:28:51 
104000343 2021-03-18 15:17:21 
104000343 2021-03-18 15:33:29 
104000343 2021-03-18 15:43:53 
104000358 2021-03-02 15:44:52 
104000358 2021-03-03 11:56:07 
104000358 2021-03-04 15:40:33 
103025483 2021-03-01 07:38:01 
103025483 2021-03-01 10:58:20 
103025483 2021-03-02 07:36:23 
103025483 2021-03-02 12:16:58 
103025483 2021-03-02 16:04:41 
103025483 2021-03-03 07:37:50 
103025483 2021-03-04 07:38:24 
103025483 2021-03-06 07:40:08 
103025483 2021-03-07 07:42:00 
103025483 2021-03-08 07:36:02 
103025483 2021-03-08 07:45:31 
103025483 2021-03-09 07:44:32 
103025483 2021-03-10 07:46:31 
103025483 2021-03-11 07:49:22 
103025483 2021-03-13 07:37:16 
103025483 2021-03-13 18:54:54 
103025483 2021-03-14 07:45:08 
103025483 2021-03-15 07:44:49 
103025483 2021-03-16 07:48:06 
103025483 2021-03-18 07:36:47 
103025483 2021-03-18 21:37:43 
103025483 2021-03-20 07:31:32 
105000021 2021-03-02 11:08:29 
105000021 2021-03-03 11:19:24 
105000021 2021-03-06 11:56:23 
105000021 2021-03-08 12:03:30 
105000021 2021-03-09 11:53:47 
105000021 2021-03-10 11:00:24 
105000021 2021-03-11 11:33:37 
105000021 2021-03-14 11:12:05 
105000021 2021-03-18 09:22:17 
105000064 2021-03-01 08:30:12 
105000064 2021-03-02 08:37:05 
105000064 2021-03-03 08:27:13 
105000064 2021-03-04 08:35:14 
105000064 2021-03-06 08:50:45 
105000064 2021-03-07 08:30:29 
105000064 2021-03-07 20:36:11 
105000064 2021-03-08 08:34:04 
105000064 2021-03-09 08:29:06 
105000064 2021-03-10 08:30:44 
105000064 2021-03-11 08:29:21 
105000064 2021-03-13 08:36:26 
105000064 2021-03-14 08:40:30 
105000064 2021-03-14 17:52:50 
105000064 2021-03-15 08:38:11 
105000064 2021-03-18 08:27:18 
105000064 2021-03-20 08:27:42 
105000082 2021-03-01 08:55:52 
105000082 2021-03-02 09:37:51 
105000082 2021-03-03 09:28:41 
105000082 2021-03-04 09:37:01 
105000082 2021-03-06 09:34:01 
105000082 2021-03-07 09:11:42 
105000082 2021-03-08 09:20:31 
105000082 2021-03-09 09:46:04 
105000082 2021-03-11 11:49:42 
105000082 2021-03-13 08:49:58 
105000082 2021-03-14 12:58:56 
105000082 2021-03-15 09:47:14 
105000082 2021-03-16 09:41:23 
105000082 2021-03-18 12:50:35 
105000082 2021-03-20 09:30:32 
105000209 2021-03-08 12:34:34 
105000209 2021-03-09 09:24:30 
105000209 2021-03-11 09:28:44 
105000209 2021-03-11 17:01:11 
105000209 2021-03-13 09:10:39 
105000209 2021-03-13 10:17:58 
105000209 2021-03-13 17:02:05 
105000209 2021-03-14 09:21:58 
105000209 2021-03-14 17:01:58 
105000209 2021-03-15 09:23:03 
105000209 2021-03-15 17:01:47 
105000209 2021-03-16 09:28:38 
105000209 2021-03-16 17:00:54 
105000209 2021-03-18 09:19:41 
105000209 2021-03-18 16:18:45 
105000209 2021-03-20 09:08:36 
105000306 2021-03-01 09:34:04 
105000306 2021-03-01 17:02:56 
105000306 2021-03-03 09:23:46 
105000306 2021-03-03 17:09:15 
105000306 2021-03-04 09:37:25 
105000306 2021-03-04 17:03:45 
105000306 2021-03-06 09:36:30 
105000306 2021-03-06 15:54:06 
105000306 2021-03-06 17:05:56 
105000306 2021-03-09 09:40:10 
105000306 2021-03-10 09:49:48 
105000306 2021-03-11 09:44:24 
105000306 2021-03-13 09:02:58 
105000306 2021-03-16 17:15:41 
105000306 2021-03-20 08:59:12 
106000008 2021-03-01 14:40:51 
106000008 2021-03-02 09:11:35 
106000008 2021-03-03 09:21:04 
