UserID    Attendance date     
104000140 2021-08-02 07:59:53 
104000140 2021-08-02 08:56:52 
103000011 2021-08-02 07:56:20 
103000011 2021-08-02 20:00:42 
103000093 2021-08-02 07:56:49 
103000093 2021-08-02 20:00:53 
103000111 2021-08-02 07:56:53 
103000111 2021-08-02 20:01:14 
103000112 2021-08-02 07:48:11 
103000112 2021-08-02 22:00:32 
103000118 2021-08-02 07:57:22 
103000118 2021-08-02 19:58:37 
103000124 2021-08-02 08:01:25 
103000124 2021-08-02 22:00:16 
103000134 2021-08-02 07:39:32 
103000134 2021-08-02 20:00:01 
103000135 2021-08-02 08:04:38 
103000135 2021-08-02 20:00:39 
103000142 2021-08-02 08:00:19 
103000142 2021-08-02 20:00:42 
103000158 2021-08-02 07:58:53 
103000158 2021-08-02 19:59:38 
103000333 2021-08-02 07:40:13 
103000333 2021-08-02 20:03:20 
103000607 2021-08-02 07:20:22 
103000607 2021-08-02 21:32:49 
103000616 2021-08-02 07:37:06 
103000616 2021-08-02 20:02:34 
103000978 2021-08-02 07:34:17 
103000978 2021-08-02 21:46:15 
103001463 2021-08-02 07:56:48 
103001463 2021-08-02 22:00:55 
103001468 2021-08-02 07:30:02 
103001468 2021-08-02 19:58:12 
103001469 2021-08-02 07:49:15 
103001469 2021-08-02 19:51:33 
103001470 2021-08-02 07:50:02 
103001470 2021-08-02 19:56:11 
103001470 2021-08-02 20:01:38 
103001473 2021-08-02 07:52:40 
103001473 2021-08-02 20:01:01 
103001482 2021-08-02 08:01:32 
103001482 2021-08-02 20:00:17 
103001485 2021-08-02 07:55:04 
103001485 2021-08-02 20:01:42 
103001488 2021-08-02 08:03:42 
103001488 2021-08-02 18:18:31 
103001505 2021-08-02 07:51:45 
103001505 2021-08-02 21:49:29 
103001507 2021-08-02 07:37:02 
103001507 2021-08-02 21:47:03 
103001508 2021-08-02 07:49:50 
103001508 2021-08-02 20:08:14 
103001509 2021-08-02 07:26:36 
103001509 2021-08-02 19:55:09 
103002355 2021-08-02 07:42:10 
103002355 2021-08-02 21:45:52 
103002385 2021-08-02 07:41:25 
103002385 2021-08-02 21:46:25 
103002387 2021-08-02 07:41:34 
103002387 2021-08-02 21:47:20 
103002393 2021-08-02 07:57:31 
103002393 2021-08-02 21:47:07 
103002396 2021-08-02 07:37:46 
103002396 2021-08-02 21:44:48 
103002397 2021-08-02 07:42:36 
103002397 2021-08-02 21:45:05 
103002398 2021-08-02 07:44:26 
103002398 2021-08-02 21:46:06 
103002407 2021-08-02 07:38:10 
103002407 2021-08-02 21:45:56 
103002410 2021-08-02 07:34:10 
103002410 2021-08-02 21:45:06 
103002414 2021-08-02 07:36:52 
103002414 2021-08-02 21:47:15 
103002423 2021-08-02 07:43:37 
103002423 2021-08-02 21:48:14 
103002460 2021-08-02 07:47:20 
103002460 2021-08-02 21:45:45 
103002464 2021-08-02 07:36:52 
103002464 2021-08-02 21:45:01 
103002480 2021-08-02 07:43:46 
103002480 2021-08-02 21:46:21 
103002481 2021-08-02 07:44:02 
103002481 2021-08-02 21:47:32 
103002498 2021-08-02 07:48:06 
103002498 2021-08-02 21:46:40 
103002508 2021-08-02 07:45:35 
103002508 2021-08-02 21:45:23 
103002519 2021-08-02 07:24:35 
103002519 2021-08-02 21:45:49 
103002521 2021-08-02 07:56:33 
103002521 2021-08-02 21:58:23 
103002522 2021-08-02 07:46:00 
103002522 2021-08-02 17:59:19 
103003918 2021-08-02 07:51:02 
103003918 2021-08-02 20:03:25 
103003921 2021-08-02 07:34:55 
103003921 2021-08-02 20:16:58 
103003926 2021-08-02 07:33:11 
103003926 2021-08-02 20:04:13 
103003955 2021-08-02 07:47:40 
103003955 2021-08-02 21:43:38 
103003961 2021-08-02 07:42:31 
103003961 2021-08-02 21:39:02 
103003961 2021-08-02 21:43:06 
103003966 2021-08-02 07:33:39 
103003966 2021-08-02 20:48:08 
103003972 2021-08-02 07:44:22 
103003972 2021-08-02 21:45:06 
103003975 2021-08-02 07:41:58 
103003975 2021-08-02 21:42:37 
103003981 2021-08-02 07:46:44 
103003981 2021-08-02 20:00:58 
103003982 2021-08-02 07:49:26 
103003982 2021-08-02 19:56:03 
103003986 2021-08-02 07:46:16 
103003986 2021-08-02 21:42:18 
103003988 2021-08-02 07:57:44 
103003988 2021-08-02 17:15:13 
103003991 2021-08-02 07:21:00 
103003991 2021-08-02 21:46:34 
103003992 2021-08-02 07:35:11 
103003992 2021-08-02 21:45:54 
103003993 2021-08-02 07:44:52 
103003993 2021-08-02 20:49:23 
