UserID    Attendance date     
104000140 2021-06-05 08:03:24 
104000140 2021-06-05 08:58:35 
103000011 2021-06-05 07:50:37 
103000011 2021-06-05 20:00:06 
103000093 2021-06-05 08:02:19 
103000093 2021-06-05 19:57:40 
103000111 2021-06-05 11:46:11 
103000111 2021-06-05 19:59:39 
103000112 2021-06-05 07:24:58 
103000112 2021-06-05 17:59:31 
103000118 2021-06-05 07:55:46 
103000118 2021-06-05 19:58:00 
103000124 2021-06-05 08:04:33 
103000124 2021-06-05 20:01:44 
103000134 2021-06-05 07:51:38 
103000134 2021-06-05 20:00:13 
103000135 2021-06-05 08:09:57 
103000135 2021-06-05 20:00:10 
103000142 2021-06-05 08:04:02 
103000142 2021-06-05 19:59:59 
103000158 2021-06-05 08:02:12 
103000158 2021-06-05 19:59:49 
103000333 2021-06-05 07:43:56 
103000333 2021-06-05 19:47:09 
103000574 2021-06-05 07:57:43 
103000574 2021-06-05 20:02:08 
103000607 2021-06-05 07:15:33 
103000607 2021-06-05 07:17:58 
103000607 2021-06-05 19:46:43 
103000616 2021-06-05 07:48:06 
103000616 2021-06-05 20:01:51 
103000978 2021-06-05 07:26:21 
103000978 2021-06-05 19:47:57 
103001151 2021-06-05 07:34:52 
103001151 2021-06-05 19:48:32 
103001463 2021-06-05 08:04:46 
103001463 2021-06-05 17:06:24 
103001468 2021-06-05 07:45:01 
103001468 2021-06-05 17:01:26 
103001469 2021-06-05 07:44:56 
103001469 2021-06-05 19:56:00 
103001470 2021-06-05 07:55:14 
103001470 2021-06-05 20:00:22 
103001473 2021-06-05 08:16:02 
103001473 2021-06-05 19:57:11 
103001482 2021-06-05 07:59:09 
103001482 2021-06-05 19:56:31 
103001484 2021-06-05 07:52:23 
103001484 2021-06-05 19:48:45 
103001485 2021-06-05 08:07:08 
103001485 2021-06-05 19:57:04 
103001488 2021-06-05 07:27:30 
103001488 2021-06-05 20:02:29 
103001505 2021-06-05 07:34:20 
103001505 2021-06-05 19:48:08 
103001507 2021-06-05 07:19:05 
103001507 2021-06-05 20:01:55 
103001508 2021-06-05 07:54:07 
103001508 2021-06-05 20:02:19 
103001509 2021-06-05 07:33:57 
103001509 2021-06-05 19:56:17 
103002355 2021-06-05 07:40:33 
103002355 2021-06-05 19:45:46 
103002385 2021-06-05 07:55:09 
103002385 2021-06-05 19:46:00 
103002387 2021-06-05 07:58:20 
103002387 2021-06-05 19:47:29 
103002393 2021-06-05 07:51:33 
103002393 2021-06-05 19:49:07 
103002393 2021-06-05 19:49:31 
103002396 2021-06-05 07:39:40 
103002396 2021-06-05 19:44:57 
103002397 2021-06-05 07:35:32 
103002397 2021-06-05 19:45:07 
103002398 2021-06-05 07:44:45 
103002398 2021-06-05 19:46:04 
103002407 2021-06-05 07:28:26 
103002407 2021-06-05 19:45:40 
103002410 2021-06-05 07:50:41 
103002410 2021-06-05 19:45:56 
103002414 2021-06-05 07:34:21 
103002414 2021-06-05 19:47:56 
103002423 2021-06-05 07:23:57 
103002423 2021-06-05 19:48:22 
103002460 2021-06-05 08:00:16 
103002460 2021-06-05 19:45:31 
103002461 2021-06-05 07:58:33 
103002461 2021-06-05 19:47:56 
103002464 2021-06-05 07:26:47 
103002464 2021-06-05 19:44:52 
103002480 2021-06-05 07:23:00 
103002480 2021-06-05 19:45:49 
103002481 2021-06-05 07:42:13 
103002481 2021-06-05 19:48:01 
103002498 2021-06-05 07:30:48 
103002498 2021-06-05 19:45:00 
103002508 2021-06-05 07:56:11 
103002508 2021-06-05 15:45:07 
103002519 2021-06-05 07:23:39 
103002519 2021-06-05 19:45:51 
103002521 2021-06-05 08:03:28 
103002521 2021-06-05 20:00:27 
103002522 2021-06-05 07:47:17 
103002522 2021-06-05 20:01:24 
103003918 2021-06-05 07:43:27 
103003918 2021-06-05 19:55:17 
103003921 2021-06-05 07:38:15 
103003921 2021-06-05 20:03:07 
103003924 2021-06-05 07:49:20 
103003924 2021-06-05 19:55:48 
103003926 2021-06-05 08:06:16 
103003926 2021-06-05 20:01:34 
103003955 2021-06-05 07:41:13 
103003955 2021-06-05 19:43:11 
103003960 2021-06-05 07:55:39 
103003960 2021-06-05 19:54:50 
103003961 2021-06-05 07:38:48 
103003961 2021-06-05 19:40:43 
103003966 2021-06-05 07:32:51 
103003966 2021-06-05 19:37:40 
103003972 2021-06-05 07:38:26 
103003972 2021-06-05 19:45:24 
103003975 2021-06-05 07:39:26 
103003975 2021-06-05 19:42:57 
103003975 2021-06-05 19:46:36 
103003981 2021-06-05 07:56:39 
103003981 2021-06-05 19:59:15 
103003982 2021-06-05 07:47:43 
103003982 2021-06-05 19:56:24 
103003986 2021-06-05 07:54:34 
103003986 2021-06-05 19:46:46 
103003988 2021-06-05 07:52:40 
103003988 2021-06-05 19:58:04 
103003991 2021-06-05 07:19:25 
103003991 2021-06-05 19:47:12 
103003992 2021-06-05 07:25:27 
103003992 2021-06-05 19:45:50 
