UserID    Attendance date     
104000140 2021-05-08 06:52:28 
104000140 2021-05-08 07:26:16 
103000011 2021-05-08 06:23:21 
103000011 2021-05-08 21:13:47 
103000044 2021-05-08 06:18:28 
103000044 2021-05-08 14:56:44 
103000093 2021-05-08 06:14:51 
103000093 2021-05-08 21:12:55 
103000111 2021-05-08 06:30:15 
103000111 2021-05-08 21:17:35 
103000112 2021-05-08 06:11:57 
103000118 2021-05-08 06:28:24 
103000118 2021-05-08 21:12:48 
103000124 2021-05-08 06:30:55 
103000134 2021-05-08 06:17:51 
103000134 2021-05-08 21:16:23 
103000135 2021-05-08 06:30:22 
103000135 2021-05-08 21:11:19 
103000142 2021-05-08 06:24:49 
103000142 2021-05-08 21:11:30 
103000158 2021-05-08 06:28:20 
103000158 2021-05-08 21:12:40 
103000333 2021-05-08 06:20:22 
103000333 2021-05-08 14:19:26 
103000574 2021-05-08 06:33:27 
103000574 2021-05-08 16:47:33 
103000607 2021-05-08 06:13:00 
103000616 2021-05-08 06:16:56 
103000616 2021-05-08 21:20:04 
103000978 2021-05-08 06:16:51 
103000978 2021-05-08 21:18:22 
103001151 2021-05-08 06:27:46 
103001151 2021-05-08 16:50:16 
103001463 2021-05-08 06:28:02 
103001468 2021-05-08 06:21:18 
103001468 2021-05-08 21:19:37 
103001469 2021-05-08 06:20:08 
103001469 2021-05-08 21:14:20 
103001470 2021-05-08 06:23:25 
103001470 2021-05-08 21:16:48 
103001473 2021-05-08 06:23:38 
103001473 2021-05-08 21:11:50 
103001482 2021-05-08 06:27:38 
103001482 2021-05-08 21:12:44 
103001484 2021-05-08 06:27:41 
103001484 2021-05-08 16:46:47 
103001485 2021-05-08 06:32:02 
103001485 2021-05-08 21:12:31 
103001488 2021-05-08 06:23:28 
103001488 2021-05-08 21:22:32 
103001507 2021-05-08 06:16:51 
103001508 2021-05-08 06:23:01 
103001508 2021-05-08 21:16:51 
103001509 2021-05-08 06:20:47 
103001509 2021-05-08 21:11:25 
103002355 2021-05-08 06:24:33 
103002355 2021-05-08 21:17:25 
103002385 2021-05-08 06:20:14 
103002385 2021-05-08 21:16:56 
103002387 2021-05-08 06:21:27 
103002387 2021-05-08 21:18:30 
103002393 2021-05-08 06:16:49 
103002393 2021-05-08 06:17:09 
103002393 2021-05-08 21:17:07 
103002393 2021-05-08 21:17:53 
103002396 2021-05-08 06:29:08 
103002397 2021-05-08 06:24:17 
103002398 2021-05-08 06:29:30 
103002398 2021-05-08 17:58:04 
103002407 2021-05-08 06:27:06 
103002407 2021-05-08 21:16:02 
103002410 2021-05-08 06:29:12 
103002410 2021-05-08 21:16:24 
103002414 2021-05-08 06:23:13 
103002414 2021-05-08 21:18:01 
103002423 2021-05-08 06:23:03 
103002423 2021-05-08 21:18:16 
103002460 2021-05-08 06:24:04 
103002460 2021-05-08 21:15:20 
103002461 2021-05-08 06:21:58 
103002464 2021-05-08 06:20:59 
103002480 2021-05-08 06:22:58 
103002480 2021-05-08 21:16:31 
103002481 2021-05-08 06:25:47 
103002481 2021-05-08 21:17:20 
103002498 2021-05-08 06:22:24 
103002498 2021-05-08 21:13:39 
103002508 2021-05-08 06:28:51 
103002508 2021-05-08 21:17:03 
103002519 2021-05-08 06:18:08 
103002519 2021-05-08 21:16:26 
103002521 2021-05-08 06:26:15 
103002521 2021-05-08 21:13:20 
103002522 2021-05-08 06:32:21 
103002522 2021-05-08 21:18:37 
103003918 2021-05-08 06:19:41 
103003918 2021-05-08 21:09:25 
103003921 2021-05-08 06:16:17 
103003921 2021-05-08 21:17:42 
103003924 2021-05-08 06:22:20 
103003924 2021-05-08 21:08:38 
103003926 2021-05-08 06:19:12 
103003955 2021-05-08 06:25:49 
103003955 2021-05-08 21:10:31 
103003960 2021-05-08 06:29:50 
103003960 2021-05-08 16:47:53 
103003961 2021-05-08 06:28:39 
103003961 2021-05-08 17:06:57 
103003966 2021-05-08 06:18:25 
103003966 2021-05-08 23:38:17 
103003972 2021-05-08 06:25:08 
103003972 2021-05-08 21:14:52 
103003975 2021-05-08 06:25:16 
103003975 2021-05-08 21:17:15 
103003975 2021-05-08 21:19:09 
103003981 2021-05-08 06:26:06 
103003981 2021-05-08 21:12:51 
103003982 2021-05-08 06:23:55 
103003982 2021-05-08 21:12:40 
103003986 2021-05-08 06:27:22 
103003988 2021-05-08 06:31:49 
103003988 2021-05-08 21:15:16 
103003991 2021-05-08 06:12:18 
103003992 2021-05-08 06:11:47 
103003992 2021-05-08 23:47:13 
103003993 2021-05-08 06:29:55 
103003993 2021-05-08 23:22:04 
103003994 2021-05-08 06:16:47 
103003994 2021-05-08 21:17:27 
103003996 2021-05-08 08:15:16 
103003996 2021-05-08 23:38:22 
103003998 2021-05-08 06:25:34 
103003998 2021-05-08 23:42:10 
103003999 2021-05-08 06:23:50 
103003999 2021-05-08 21:15:08 
103004000 2021-05-08 06:17:16 
103004000 2021-05-08 21:15:51 
103004002 2021-05-08 06:12:11 
103004002 2021-05-08 06:12:28 
103004002 2021-05-08 21:18:36 
103004002 2021-05-08 21:19:26 
103004014 2021-05-08 06:19:15 
103004014 2021-05-08 21:11:06 
103004045 2021-05-08 05:57:37 
103004045 2021-05-08 15:36:33 
103004061 2021-05-08 06:31:47 
103004063 2021-05-08 06:26:57 
103004063 2021-05-08 21:12:44 
103004066 2021-05-08 06:27:21 
103004066 2021-05-08 21:12:06 
103004950 2021-05-08 06:15:37 
103004950 2021-05-08 06:15:42 
103004950 2021-05-08 21:15:57 
103004953 2021-05-08 06:15:27 
103004953 2021-05-08 21:17:15 
103004955 2021-05-08 06:11:56 
103004955 2021-05-08 21:16:04 
103004956 2021-05-08 06:17:32 
103004956 2021-05-08 21:17:57 
103005247 2021-05-08 06:19:27 
103005247 2021-05-08 21:18:33 
103005252 2021-05-08 06:24:47 
103005252 2021-05-08 21:12:57 
103005255 2021-05-08 06:30:05 
103005255 2021-05-08 21:21:57 
103005285 2021-05-08 06:18:50 
103005285 2021-05-08 21:12:24 
103005296 2021-05-08 06:18:08 
103005296 2021-05-08 21:15:14 
103005311 2021-05-08 06:27:26 
103005311 2021-05-08 21:15:05 
103006177 2021-05-08 06:24:43 
103006177 2021-05-08 21:13:07 
103006192 2021-05-08 06:17:57 
103006192 2021-05-08 21:16:20 
103006432 2021-05-08 06:13:18 
103006432 2021-05-08 21:16:34 
103006633 2021-05-08 06:13:49 
103006633 2021-05-08 17:06:28 
103006755 2021-05-08 06:15:31 
103006755 2021-05-08 21:13:09 
103007205 2021-05-08 06:12:10 
103007205 2021-05-08 21:17:31 
103007206 2021-05-08 06:24:28 
103007206 2021-05-08 21:17:42 
103007209 2021-05-08 06:23:35 
103007209 2021-05-08 21:18:08 
103007217 2021-05-08 06:11:34 
103007217 2021-05-08 21:16:38 
103007220 2021-05-08 06:12:14 
103007220 2021-05-08 21:12:21 
103007233 2021-05-08 06:27:33 
103007233 2021-05-08 21:16:53 
103007481 2021-05-08 06:31:42 
103007481 2021-05-08 21:16:49 
