UserID    Attendance date     
103000011 2021-03-23 07:57:00 
103000011 2021-03-23 22:00:04 
103000044 2021-03-23 07:42:58 
103000044 2021-03-23 21:57:14 
103000093 2021-03-23 07:47:09 
103000093 2021-03-23 22:00:39 
103000111 2021-03-23 08:02:19 
103000111 2021-03-23 22:00:11 
103000112 2021-03-23 07:44:59 
103000112 2021-03-23 22:01:01 
103000118 2021-03-23 08:00:14 
103000118 2021-03-23 22:00:35 
103000124 2021-03-23 07:58:49 
103000124 2021-03-23 21:59:10 
103000134 2021-03-23 07:49:37 
103000134 2021-03-23 22:01:42 
103000135 2021-03-23 07:58:39 
103000135 2021-03-23 22:00:33 
103000142 2021-03-23 07:58:22 
103000142 2021-03-23 21:59:30 
103000158 2021-03-23 07:59:28 
103000158 2021-03-23 21:59:51 
103000333 2021-03-23 07:49:08 
103000333 2021-03-23 20:06:27 
103000574 2021-03-23 07:50:41 
103000574 2021-03-23 20:12:12 
103000607 2021-03-23 07:26:39 
103000607 2021-03-23 20:53:05 
103000616 2021-03-23 07:49:54 
103000616 2021-03-23 22:02:59 
103000978 2021-03-23 07:34:02 
103000978 2021-03-23 19:49:15 
103001151 2021-03-23 07:40:52 
103001151 2021-03-23 19:44:39 
103001463 2021-03-23 08:01:33 
103001463 2021-03-23 21:57:40 
103001468 2021-03-23 07:38:02 
103001468 2021-03-23 19:57:23 
103001469 2021-03-23 07:50:39 
103001469 2021-03-23 17:51:44 
103001470 2021-03-23 07:55:16 
103001470 2021-03-23 22:02:12 
103001473 2021-03-23 07:55:12 
103001473 2021-03-23 22:02:16 
103001482 2021-03-23 07:58:10 
103001482 2021-03-23 21:54:47 
103001484 2021-03-23 07:45:16 
103001484 2021-03-23 19:44:43 
103001485 2021-03-23 10:24:26 
103001485 2021-03-23 21:53:44 
103001488 2021-03-23 07:54:50 
103001488 2021-03-23 21:59:28 
103001505 2021-03-23 07:41:33 
103001505 2021-03-23 19:49:17 
103001505 2021-03-23 19:50:41 
103001507 2021-03-23 07:31:20 
103001507 2021-03-23 20:35:33 
103001508 2021-03-23 07:56:46 
103001508 2021-03-23 22:01:28 
103001509 2021-03-23 07:34:48 
103001509 2021-03-23 21:54:53 
103002355 2021-03-23 07:37:37 
103002355 2021-03-23 19:45:43 
103002385 2021-03-23 07:42:39 
103002385 2021-03-23 19:46:16 
103002387 2021-03-23 07:37:18 
103002387 2021-03-23 19:49:00 
103002393 2021-03-23 07:42:12 
103002393 2021-03-23 07:42:25 
103002393 2021-03-23 20:09:04 
103002393 2021-03-23 20:09:41 
103002396 2021-03-23 07:43:46 
103002396 2021-03-23 21:45:15 
103002397 2021-03-23 07:40:45 
103002397 2021-03-23 21:45:19 
103002398 2021-03-23 07:44:47 
103002398 2021-03-23 19:45:51 
103002407 2021-03-23 07:45:15 
103002407 2021-03-23 19:45:40 
103002410 2021-03-23 07:44:06 
103002410 2021-03-23 19:46:47 
103002414 2021-03-23 07:40:09 
103002414 2021-03-23 19:47:02 
103002423 2021-03-23 07:35:30 
103002423 2021-03-23 19:48:47 
103002460 2021-03-23 07:43:20 
103002460 2021-03-23 19:45:10 
103002461 2021-03-23 07:41:02 
103002461 2021-03-23 21:45:32 
103002464 2021-03-23 07:40:11 
103002464 2021-03-23 21:45:22 
103002480 2021-03-23 07:35:16 
103002480 2021-03-23 21:45:58 
103002481 2021-03-23 07:42:04 
103002481 2021-03-23 19:48:53 
103002498 2021-03-23 07:43:39 
103002498 2021-03-23 19:47:28 
103002508 2021-03-23 07:45:53 
103002508 2021-03-23 21:45:46 
103002519 2021-03-23 07:38:47 
103002519 2021-03-23 21:45:43 
103002521 2021-03-23 07:44:48 
103002521 2021-03-23 21:59:33 
103002522 2021-03-23 07:47:09 
103002522 2021-03-23 22:02:25 
103003918 2021-03-23 07:53:00 
103003918 2021-03-23 21:49:41 
103003921 2021-03-23 07:37:45 
103003921 2021-03-23 22:02:46 
103003924 2021-03-23 07:54:21 
103003924 2021-03-23 21:39:26 
103003926 2021-03-23 07:49:21 
103003926 2021-03-23 21:08:44 
103003955 2021-03-23 07:42:50 
103003955 2021-03-23 19:44:52 
103003960 2021-03-23 07:56:55 
103003960 2021-03-23 19:57:05 
103003961 2021-03-23 07:40:32 
103003961 2021-03-23 19:44:03 
103003966 2021-03-23 07:42:35 
103003966 2021-03-23 19:47:21 
103003972 2021-03-23 07:40:35 
103003972 2021-03-23 19:45:26 
103003975 2021-03-23 07:43:16 
103003975 2021-03-23 19:46:40 
103003981 2021-03-23 07:49:22 
103003981 2021-03-23 21:52:01 
103003982 2021-03-23 07:52:22 
103003982 2021-03-23 21:53:58 
103003986 2021-03-23 07:46:12 
103003986 2021-03-23 21:31:28 
103003988 2021-03-23 07:51:52 
103003988 2021-03-23 21:48:34 
103003991 2021-03-23 07:20:20 
103003991 2021-03-23 07:20:31 
103003991 2021-03-23 21:45:50 
103003992 2021-03-23 07:35:46 
103003992 2021-03-23 19:46:48 
103003993 2021-03-23 07:46:22 
103003993 2021-03-23 21:31:06 
103003993 2021-03-23 21:32:43 
103003994 2021-03-23 07:34:16 
103003994 2021-03-23 19:07:47 
103003996 2021-03-23 07:42:59 
