UserID    Attendance date     
104000140 2021-05-21 07:43:26 
104000140 2021-05-21 08:26:34 
103000011 2021-05-21 07:43:02 
103000093 2021-05-21 07:25:53 
103000111 2021-05-21 00:55:23 
103000112 2021-05-21 07:48:54 
103000118 2021-05-21 07:59:49 
103000124 2021-05-21 07:58:26 
103000134 2021-05-21 07:41:41 
103000135 2021-05-21 07:59:31 
103000142 2021-05-21 07:54:42 
103000158 2021-05-21 07:58:45 
103000333 2021-05-21 07:38:06 
103000574 2021-05-21 07:43:02 
103000607 2021-05-21 07:22:05 
103000616 2021-05-21 00:00:43 
103000616 2021-05-21 07:38:32 
103000978 2021-05-21 07:21:58 
103001151 2021-05-21 07:47:31 
103001463 2021-05-21 07:56:50 
103001468 2021-05-21 07:42:16 
103001469 2021-05-21 07:41:32 
103001470 2021-05-21 07:53:48 
103001473 2021-05-21 07:54:13 
103001482 2021-05-21 00:35:39 
103001482 2021-05-21 07:55:40 
103001484 2021-05-21 07:44:39 
103001485 2021-05-21 07:48:16 
103001488 2021-05-21 07:42:11 
103001507 2021-05-21 07:24:32 
103001508 2021-05-21 00:36:25 
103001508 2021-05-21 07:45:14 
103001509 2021-05-21 07:29:44 
103002355 2021-05-21 07:36:35 
103002385 2021-05-21 07:40:26 
103002387 2021-05-21 07:35:44 
103002393 2021-05-21 07:28:49 
103002393 2021-05-21 07:29:03 
103002396 2021-05-21 07:37:09 
103002397 2021-05-21 07:41:28 
103002398 2021-05-21 07:38:49 
103002407 2021-05-21 07:30:15 
103002410 2021-05-21 07:38:43 
103002414 2021-05-21 07:24:17 
103002423 2021-05-21 07:18:09 
103002460 2021-05-21 07:37:04 
103002461 2021-05-21 07:37:29 
103002464 2021-05-21 07:43:17 
103002480 2021-05-21 07:21:21 
103002481 2021-05-21 07:37:12 
103002498 2021-05-21 07:41:09 
103002508 2021-05-21 07:43:39 
103002519 2021-05-21 07:26:03 
103002521 2021-05-21 07:54:05 
103002522 2021-05-21 07:51:27 
103003918 2021-05-21 07:50:52 
103003921 2021-05-21 00:36:20 
103003921 2021-05-21 07:38:15 
103003924 2021-05-21 00:34:58 
103003924 2021-05-21 07:44:48 
103003926 2021-05-21 07:26:04 
103003955 2021-05-21 07:37:14 
103003960 2021-05-21 07:55:23 
103003961 2021-05-21 07:37:24 
103003966 2021-05-21 07:41:36 
103003972 2021-05-21 07:42:15 
103003975 2021-05-21 07:34:10 
103003981 2021-05-21 07:48:49 
103003982 2021-05-21 07:52:30 
103003986 2021-05-21 07:37:57 
103003988 2021-05-21 00:36:13 
103003988 2021-05-21 07:57:42 
103003991 2021-05-21 07:21:53 
103003992 2021-05-21 07:29:24 
103003994 2021-05-21 07:28:06 
103003996 2021-05-21 07:40:33 
103003998 2021-05-21 07:44:44 
103003999 2021-05-21 07:36:44 
103004000 2021-05-21 07:31:02 
103004014 2021-05-21 07:36:39 
103004045 2021-05-21 07:15:38 
103004061 2021-05-21 08:02:45 
103004063 2021-05-21 07:21:49 
103004066 2021-05-21 07:42:07 
103004950 2021-05-21 07:26:55 
103004953 2021-05-21 07:20:01 
103004955 2021-05-21 07:21:00 
103004956 2021-05-21 07:21:34 
103005247 2021-05-21 07:19:19 
103005252 2021-05-21 07:22:47 
103005252 2021-05-21 07:26:35 
103005255 2021-05-21 07:59:45 
103005285 2021-05-21 07:20:34 
103005296 2021-05-21 07:18:27 
103005311 2021-05-21 07:33:41 
103006177 2021-05-21 08:02:51 
103006192 2021-05-21 07:29:34 
103006432 2021-05-21 07:41:36 
103006633 2021-05-21 07:42:20 
103006755 2021-05-21 07:42:47 
103007094 2021-05-21 07:38:17 
103007205 2021-05-21 07:19:31 
103007206 2021-05-21 07:50:20 
103007209 2021-05-21 07:48:04 
103007217 2021-05-21 07:19:02 
103007220 2021-05-21 07:39:27 
103007233 2021-05-21 00:55:15 
103007233 2021-05-21 07:59:36 
103007481 2021-05-21 07:43:21 
103007489 2021-05-21 07:32:08 
103007490 2021-05-21 07:31:30 
103007791 2021-05-21 08:00:50 
103007817 2021-05-21 07:56:44 
103007871 2021-05-21 07:48:57 
103007985 2021-05-21 07:22:13 
103008023 2021-05-21 07:41:03 
103008112 2021-05-21 07:59:54 
103008394 2021-05-21 07:57:04 
103008399 2021-05-21 07:41:48 
103008402 2021-05-21 07:41:25 
103008992 2021-05-21 07:37:20 
103008995 2021-05-21 07:31:36 
103009787 2021-05-21 07:38:37 
103010116 2021-05-21 07:33:36 
103010117 2021-05-21 08:02:01 
103010302 2021-05-21 07:42:25 
103010394 2021-05-21 07:46:04 
103010433 2021-05-21 07:56:54 
103010435 2021-05-21 07:46:38 
103010440 2021-05-21 07:24:39 
103010569 2021-05-21 07:29:03 
103010569 2021-05-21 07:29:57 
103010675 2021-05-21 07:38:04 
